,No.,combination,n_cols,outlier_replace_with,imputation_knn_weight,FS_classifier_model,removing_coli,balancing_sampling_technique,Model,cols,cf_matrix,accuracy,f1,precision,recall,sensitivity,type_1_error_FP,type_2_error_FN,auc,log_loss_,cohen_kappa_score_,cf_matrix_train,accuracy_train,f1_train,precision_train,recall_train,sensitivity_train,type_1_error_FP_train,type_2_error_FN_train,auc_train
0,1,3s & knn__uniform & BoS__gini & Yes & SMOTEENN & RF,9,3s,knn__uniform,BoS__gini,Yes,SMOTEENN,RF,"Index(['feature_66', 'feature_349', 'feature_427', 'feature_442',
       'feature_133', 'feature_461', 'feature_3', 'feature_299', 'feature_60'],
      dtype='object')","[[245  48]
 [  8  13]]",0.821656050955414,0.3170731707317073,0.21311475409836064,0.6190476190476191,0.6190476190476191,8,48,0.7276125467251747,6.1599040088905985,0.24161131717415685,"[[707  56]
 [126 825]]",0.8938156359393232,0.9006550218340611,0.9364358683314415,0.8675078864353313,0.8675078864353313,126,56,0.8970566955112436
1,2,3s & knn__uniform & BoS__gini & Yes & SMOTEENN & LR,8,3s,knn__uniform,BoS__gini,Yes,SMOTEENN,LR,"Index(['feature_66', 'feature_427', 'feature_300', 'feature_332',
       'feature_442', 'feature_133', 'feature_3', 'feature_60'],
      dtype='object')","[[256  37]
 [ 10  11]]",0.8503184713375797,0.31884057971014496,0.22916666666666666,0.5238095238095238,0.5238095238095238,10,37,0.6987648301641476,5.169911068999107,0.24895674300254456,"[[625  70]
 [362 501]]",0.7227214377406932,0.698744769874477,0.8774080560420315,0.5805330243337196,0.5805330243337196,362,70,0.7399067999366439
2,3,3s & knn__uniform & BoS__gini & Yes & ADASYN & RF,8,3s,knn__uniform,BoS__gini,Yes,ADASYN,RF,"Index(['feature_66', 'feature_171', 'feature_427', 'feature_133',
       'feature_299', 'feature_563', 'feature_354', 'feature_3'],
      dtype='object')","[[223  70]
 [ 13   8]]",0.7356687898089171,0.1616161616161616,0.10256410256410256,0.38095238095238093,0.38095238095238093,13,70,0.5710222655615147,9.129854817190129,0.06285508809780649,"[[ 925  245]
 [ 108 1044]]",0.8479758828596038,0.8553871364195001,0.8099301784328937,0.90625,0.90625,108,245,0.8484241452991453
3,4,3s & knn__uniform & BoS__gini & Yes & ADASYN & LR,8,3s,knn__uniform,BoS__gini,Yes,ADASYN,LR,"Index(['feature_66', 'feature_427', 'feature_442', 'feature_133', 'feature_3',
       'feature_299', 'feature_563', 'feature_354'],
      dtype='object')","[[198  95]
 [ 11  10]]",0.6624203821656051,0.15873015873015872,0.09523809523809523,0.47619047619047616,0.47619047619047616,11,95,0.5759791971396068,11.659828852281532,0.053194515560107014,"[[766 404]
 [552 600]]",0.5882859603789836,0.5565862708719852,0.5976095617529881,0.5208333333333334,0.5208333333333334,552,404,0.587767094017094
4,5,3s & knn__uniform & BoS__gini & Yes & SMOTE & RF,8,3s,knn__uniform,BoS__gini,Yes,SMOTE,RF,"Index(['feature_66', 'feature_171', 'feature_427', 'feature_133',
       'feature_461', 'feature_299', 'feature_354', 'feature_3'],
      dtype='object')","[[213  80]
 [ 12   9]]",0.7070063694267515,0.16363636363636364,0.10112359550561797,0.42857142857142855,0.42857142857142855,12,80,0.5777669429546561,10.119845210592988,0.06213882215440558,"[[ 864  306]
 [ 147 1023]]",0.8064102564102564,0.8187274909963985,0.7697516930022573,0.8743589743589744,0.8743589743589744,147,306,0.8064102564102564
5,6,3s & knn__uniform & BoS__gini & Yes & SMOTE & LR,8,3s,knn__uniform,BoS__gini,Yes,SMOTE,LR,"Index(['feature_66', 'feature_171', 'feature_427', 'feature_133',
       'feature_461', 'feature_299', 'feature_354', 'feature_3'],
      dtype='object')","[[182 111]
 [ 11  10]]",0.6114649681528662,0.1408450704225352,0.08264462809917356,0.47619047619047616,0.47619047619047616,11,111,0.5486754428733951,13.419807246795717,0.030324507669721057,"[[736 434]
 [541 629]]",0.5833333333333334,0.5633676668159426,0.5917215428033866,0.5376068376068376,0.5376068376068376,541,434,0.5833333333333333
6,7,3s & knn__uniform & BoS__gini & Yes & ROSE & RF,5,3s,knn__uniform,BoS__gini,Yes,ROSE,RF,"Index(['feature_66', 'feature_427', 'feature_442', 'feature_133', 'feature_3'], dtype='object')","[[243  50]
 [ 12   9]]",0.802547770700637,0.22500000000000003,0.15254237288135594,0.42857142857142855,0.42857142857142855,12,50,0.6289614822038031,6.819885720878893,0.14018196272414096,"[[999 171]
 [442 728]]",0.7380341880341881,0.7037216046399226,0.8097886540600667,0.6222222222222222,0.6222222222222222,442,171,0.738034188034188
7,8,3s & knn__uniform & BoS__gini & Yes & ROSE & LR,5,3s,knn__uniform,BoS__gini,Yes,ROSE,LR,"Index(['feature_66', 'feature_427', 'feature_442', 'feature_133', 'feature_3'], dtype='object')","[[165 128]
 [ 11  10]]",0.5573248407643312,0.12578616352201258,0.07246376811594203,0.47619047619047616,0.47619047619047616,11,128,0.5196652039655452,15.289784290967038,0.010967595739859504,"[[688 482]
 [600 570]]",0.5376068376068376,0.5130513051305131,0.5418250950570342,0.48717948717948717,0.48717948717948717,600,482,0.5376068376068377
8,9,3s & MICE & BoS__gini & Yes & SMOTEENN & RF,7,3s,MICE,BoS__gini,Yes,SMOTEENN,RF,"Index(['feature_66', 'feature_427', 'feature_442', 'feature_133', 'feature_3',
       'feature_124', 'feature_299'],
      dtype='object')","[[202  91]
 [ 10  11]]",0.678343949044586,0.1788617886178862,0.10784313725490197,0.5238095238095238,0.5238095238095238,10,91,0.6066146595156834,11.10983815048448,0.0764167977168152,"[[508  82]
 [ 72 655]]",0.8830675778283978,0.8948087431693988,0.8887381275440976,0.9009628610729024,0.9009628610729024,72,82,0.8809899051127223
9,10,3s & MICE & BoS__gini & Yes & SMOTEENN & LR,7,3s,MICE,BoS__gini,Yes,SMOTEENN,LR,"Index(['feature_66', 'feature_427', 'feature_442', 'feature_133', 'feature_3',
       'feature_124', 'feature_299'],
      dtype='object')","[[120 173]
 [  7  14]]",0.4267515923566879,0.1346153846153846,0.0748663101604278,0.6666666666666666,0.6666666666666666,7,173,0.5381114903299203,19.79973911286416,0.016324967802568757,"[[272 318]
 [165 562]]",0.6332574031890661,0.6994399502177971,0.6386363636363637,0.7730398899587345,0.7730398899587345,165,318,0.6170284195556384
